,id,provider,title,description,category,skill level,is_paid,class,rating,URL,processed_description
160,161,linkedin,Full Stack Web Developer,"Get the skills to work with both back-end and front-end technologies as a full-stack developer. You'll develop a solid foundation for working with servers and host configurations, performing database integrations, and creating dynamic, data-driven websites. Learn how to write HTML, the programming language that powers the web. Explore the concepts that form the foundation of CSS. Learn how to select content, style text, manage layouts, and more as you work on a real-world project. Get hands-on experience scripting in JavaScript. Learn how to work with objects, variables, data types, conditionals, functions, loops, the DOM, and more. Learn effective search skills such as identifying reliable sources, learning where and how to find information, and participating in online communities. Bring your JavaScript code up to modern standards. Learn how to use the latest features in ECMAScript 6+ to add functionality to your apps and simplify your code. Learn about the basics of Git and get comfortable working with Git, as well as GitHub Star and Microsoft MVP, on your own projects. React is a great choice for dynamic, data-driven user experiences. Learn how to create browser-based apps and websites with the component-based React.js library. Learn the essentials of Node.js. Discover what you need to know to start creating your own JavaScript applications with Node.js. Prepare for the data-driven future by learning how to manage relational databases with SQL. Get a high-level view of the basics of NoSQL, from how it differs from relational databases to its pros and cons. Learn the basics of REST APIs. Discover what they are, why they matter, and how putting REST APIs to use can help you build faster, more efficient applications. Learn how DevOps can help you establish a culture of collaboration and communication between software engineers (Dev) and IT operations (Ops).","web development, software development",any,yes,paid,,https://www.linkedin.com/learning/paths/become-a-full-stack-web-developer,get skill work backend frontend technology fullstack developer youll develop solid foundation working server host configuration performing database integration creating dynamic datadriven website learn write html programming language power web explore concept form foundation cs learn select content style text manage layout work realworld project get handson experience scripting javascript learn work object variable data type conditionals function loop dom learn effective search skill identifying reliable source learning find information participating online community bring javascript code modern standard learn use latest feature ecmascript 6 add functionality apps simplify code learn basic git get comfortable working git well github star microsoft mvp project react great choice dynamic datadriven user experience learn create browserbased apps website componentbased reactjs library learn essential nodejs discover need know start creating javascript application nodejs prepare datadriven future learning manage relational database sql get highlevel view basic nosql differs relational database pro con learn basic rest apis discover matter putting rest apis use help build faster efficient application learn devops help establish culture collaboration communication software engineer dev operation ops
161,162,linkedin,Become a Programmer: Foundations,"Programmers are in higher demand today than ever before. Get the essential skills and tools to become a successful software engineer, and learn the fundamental concepts and practices that are critical to the task of coding—no matter what language you choose. Prepare to learn the fundamental concepts, practices, and terminology of programming in this introductory course. Dive deeper into the foundational concepts, practices, and terminology of programming. Learn how to work with collections, use external code, find and fix bugs, and more. Learn how to connect programming theory to practice. Learn about basic programming concepts such as functions, variables, and loops by comparing them to real-life scenarios. Good software starts with great design. Get a fun and fresh introduction to object-oriented design and analysis—from defining requirements to diagramming classes. Algorithms are the universal building blocks of programming. Learn the most popular and useful programming algorithms for searching and sorting data, counting values, and more. Learn about programming with data structures. Discover how to store, organize, and access data using data structures such as arrays, linked lists, stacks, queues, and hash tables. Learn about key object-oriented design patterns (including the Observer, Decorator, and Factory patterns) that make your development process faster and easier. Learn the fundamentals of database programming. Find out how to build a database, define relationships, and write queries. Explore the basic tools and concepts of memory management in common programming languages like C and Python. Learn all about web services—the standard method of communicating between applications and across the web—and see how to build them using several popular technologies. Learn how to incorporate security into the software development life cycle. Add secure coding practices to agile processes to protect data and prevent recurring flaws. Improve your software quality and delivery speed. Learn how to adopt a test-driven development process to build testing into your daily routine. Learn how to incorporate different kinds of software testing into your development cycle to help your team meet quality goals with every release.",software development,any,yes,paid,,https://www.linkedin.com/learning/paths/become-a-programmer-foundations,programmer higher demand today ever get essential skill tool become successful software engineer learn fundamental concept practice critical task codingno matter language choose prepare learn fundamental concept practice terminology programming introductory course dive deeper foundational concept practice terminology programming learn work collection use external code find fix bug learn connect programming theory practice learn basic programming concept function variable loop comparing reallife scenario good software start great design get fun fresh introduction objectoriented design analysisfrom defining requirement diagramming class algorithm universal building block programming learn popular useful programming algorithm searching sorting data counting value learn programming data structure discover store organize access data using data structure array linked list stack queue hash table learn key objectoriented design pattern including observer decorator factory pattern make development process faster easier learn fundamental database programming find build database define relationship write query explore basic tool concept memory management common programming language like c python learn web servicesthe standard method communicating application across weband see build using several popular technology learn incorporate security software development life cycle add secure coding practice agile process protect data prevent recurring flaw improve software quality delivery speed learn adopt testdriven development process build testing daily routine learn incorporate different kind software testing development cycle help team meet quality goal every release
162,163,next.js,Learn Next.js Foundations,"To effectively use Next.js, it helps to be familiar with JavaScript, React, and related web development concepts. But JavaScript and React are vast topics. How do you know when you’re ready to learn Next.js? Welcome to the Next.js Foundations course! This beginner-friendly, example-led course will guide you through the prerequisite knowledge for Next.js. You will build a simple project step-by-step; starting with a JavaScript application, then migrating it to React and Next.js. Each section builds on the previous one, so you can choose where to start depending on what you already know. Next.js is a flexible React framework that gives you building blocks to create fast web applications. But what exactly do we mean by this? Let’s spend some time expanding on what React and Next.js are and how they can help. Building Blocks of a Web Application. There are a few things you need to consider when building modern applications. Such as: User Interface - how users will consume and interact with your application. Routing - how users navigate between different parts of your application. Data Fetching - where your data lives and how to get it. Rendering - when and where you render static or dynamic content. Integrations - what third-party services you use (CMS, auth, payments, etc) and how you connect to them. Infrastructure - where you deploy, store, and run your application code (Serverless, CDN, Edge, etc). Performance - how to optimize your application for end-users. Scalability - how your application adapts as your team, data, and traffic grow. Developer Experience - your team’s experience building and maintaining your application. For each part of your application, you will need to decide whether you will build a solution yourself or use other tools such as libraries and frameworks.",web development,any,no,free,,https://nextjs.org/learn/foundations/about-nextjs,effectively use nextjs help familiar javascript react related web development concept javascript react vast topic know youre ready learn nextjs welcome nextjs foundation course beginnerfriendly exampleled course guide prerequisite knowledge nextjs build simple project stepbystep starting javascript application migrating react nextjs section build previous one choose start depending already know nextjs flexible react framework give building block create fast web application exactly mean let spend time expanding react nextjs help building block web application thing need consider building modern application user interface user consume interact application routing user navigate different part application data fetching data life get rendering render static dynamic content integration thirdparty service use cm auth payment etc connect infrastructure deploy store run application code serverless cdn edge etc performance optimize application endusers scalability application adapts team data traffic grow developer experience team experience building maintaining application part application need decide whether build solution use tool library framework
163,164,google,Modernizing Data Lakes and Data Warehouses with Google Cloud,"The two key components of any data pipeline are data lakes and warehouses. This course highlights use-cases for each type of storage and dives into the available data lake and warehouse solutions on Google Cloud in technical detail. Also, this course describes the role of a data engineer, the benefits of a successful data pipeline to business operations, and examines why data engineering should be done in a cloud environment. This is the first course of the Data Engineering on Google Cloud series. After completing this course, enroll in the Building Batch Data Pipelines on Google Cloud course. Differentiate between data lakes and data warehouses. Explore use-cases for each type of storage and the available data lake and warehouse solutions on Google Cloud. Discuss the role of a data engineer and the benefits of a successful data pipeline to business operations. Examine why data engineering should be done in a cloud environment. This module introduces the Data Engineering on Google Cloud source series and this Modernizing Data Lakes and Data Warehouses with Google Cloud course. This module discusses the role of data engineering and motivates the claim why data engineering should be done in the Cloud. In this module, we describe what data lake is and how to use Cloud Storage as your data lake on Google Cloud. In this module, we talk about BigQuery as a data warehousing option on Google Cloud.","cloud computing, data analytics",any,no,free,,https://www.cloudskillsboost.google/course_templates/54,two key component data pipeline data lake warehouse course highlight usecases type storage dive available data lake warehouse solution google cloud technical detail also course describes role data engineer benefit successful data pipeline business operation examines data engineering done cloud environment first course data engineering google cloud series completing course enroll building batch data pipeline google cloud course differentiate data lake data warehouse explore usecases type storage available data lake warehouse solution google cloud discus role data engineer benefit successful data pipeline business operation examine data engineering done cloud environment module introduces data engineering google cloud source series modernizing data lake data warehouse google cloud course module discus role data engineering motivates claim data engineering done cloud module describe data lake use cloud storage data lake google cloud module talk bigquery data warehousing option google cloud
164,165,youtube,Google BigQuery Tutorial,Google Big Query is part of the Google Cloud Platform and provides a data warehouse on demand. You can upload structured data into tables and use Google's cloud infrastructure to quickly analyze millions of data rows in seconds. In this video I’m going to give you a quick overview of how you can use Big Query as well.,"big data, data analytics",any,no,free,,https://www.youtube.com/watch?v=MH5M2Crn6Ag,google big query part google cloud platform provides data warehouse demand upload structured data table use google cloud infrastructure quickly analyze million data row second video im going give quick overview use big query well
165,166,datacamp,Database Design,"A good database design is crucial for a high-performance application. Just like you wouldn't start building a house without the benefit of a blueprint, you need to think about how your data will be stored beforehand. Taking the time to design a database saves time and frustration later on, and a well-designed database ensures ease of access and retrieval of information. While choosing a design, a lot of considerations have to be accounted for. In this course, you'll learn how to process, store, and organize data in an efficient way. You'll see how to structure data through normalization and present your data with views. Finally, you'll learn how to manage your database and all of this will be done on a variety of datasets from book sales, car rentals, to music reviews.",database management,any,yes,paid,,https://www.datacamp.com/courses/database-design,good database design crucial highperformance application like wouldnt start building house without benefit blueprint need think data stored beforehand taking time design database save time frustration later welldesigned database ensures ease access retrieval information choosing design lot consideration accounted course youll learn process store organize data efficient way youll see structure data normalization present data view finally youll learn manage database done variety datasets book sale car rental music review
166,167,udemy,Zero To Hero in Microsoft Excel: Complete Excel Guide 2023,"This course covers everything you need to crack advanced MS Excel in the professional work place. Below are the Excel course contents of this complete and concise course on Microsoft Excel: Introduction - In this video, the structure and contents of the course are discussed. Mathematical Functions - This lecture covers Mathematical formulas such as SUM, AVERAGE,RAND, MIN & MAX, SUMPRODUCT. Textual Formulas - This Excel lecture covers Textual formulas such as TRIM, CONCATENATE, SUBSTITUTE, UPPER & LOWER, LENGTH, LEFT, RIGHT & MID. Logical Formulas - This lecture covers Logical formulas such as AND & OR, IF, COUNTIF, SUMIF. Date-time (Temporal) Formulas - This lecture covers Date-time related functions such as TODAY & NOW, DAY, MONTH & YEAR, DATEDIF & DAYS. Lookup Formulas - This Excel lecture covers Lookup formulas such as VLOOKUP, HLOOKUP, INDEX, MATCH. Data Tools - This lecture covers Data operating tools such as Data Sorting and Filtering, Data validation, Removing duplicates, Importing Data (Text-to-columns). Formatting data and tables - This Excel lecture covers data formatting options such as coloring, changing font, alignments and table formatting options such as adding borders, having highlighted table headers, banded rows etc. Pivot Tables - This Excel lecture covers Pivot tables end-to-end. Charts - This Excel lecture covers charts such as, Bar/ Column chart, Line Chart, Scatter Plot, Pie & Doughnut charts, Statistical Chart - Histogram, Waterfall, Sparklines. Excel Shortcuts - This lecture will introduce you to some important shortcuts and teach you how to find out the shortcut for any particular excel operation. Analytics in Excel - This Excel lecture covers the data analytics options available in Excel such as Regression, Solving linear programming problem (Minimization or Maximization problems), What-if (Goal Seek and Scenario Manager). Macros - This lecture covers the process of recording a Macro, running a Macro and creating a button to run a Macro. Bonus Lectures - Waterfall chart in Excel 2016 and previous versions of Excel, Infographics 1: Cool charts, Infographics 2: Cool charts. And so much more! By the end of this course, your confidence in using MS Excel will soar. You will learn how Microsoft Excel can play a pivotal role in data analysis and related field. You'll also have a thorough understanding of how to use Microsoft Excel for study or as a career opportunity.",data analytics,beginner,yes,paid,,https://www.udemy.com/course/excel-quick-start-guide-from-beginner-to-expert/,course cover everything need crack advanced m excel professional work place excel course content complete concise course microsoft excel introduction video structure content course discussed mathematical function lecture cover mathematical formula sum averagerand min max sumproduct textual formula excel lecture cover textual formula trim concatenate substitute upper lower length left right mid logical formula lecture cover logical formula countif sumif datetime temporal formula lecture cover datetime related function today day month year datedif day lookup formula excel lecture cover lookup formula vlookup hlookup index match data tool lecture cover data operating tool data sorting filtering data validation removing duplicate importing data texttocolumns formatting data table excel lecture cover data formatting option coloring changing font alignment table formatting option adding border highlighted table header banded row etc pivot table excel lecture cover pivot table endtoend chart excel lecture cover chart bar column chart line chart scatter plot pie doughnut chart statistical chart histogram waterfall sparklines excel shortcut lecture introduce important shortcut teach find shortcut particular excel operation analytics excel excel lecture cover data analytics option available excel regression solving linear programming problem minimization maximization problem whatif goal seek scenario manager macro lecture cover process recording macro running macro creating button run macro bonus lecture waterfall chart excel 2016 previous version excel infographics 1 cool chart infographics 2 cool chart much end course confidence using m excel soar learn microsoft excel play pivotal role data analysis related field youll also thorough understanding use microsoft excel study career opportunity
167,168,google,Get started using Google Analytics,"After completing this Google Analytics learning path, you'll be able to: Understand how Google Analytics collects and processes data. Set up your Analytics account in a way that supports your business objectives. Describe how data is compiled into reports in Analytics",data analytics,beginner,no,free,,https://skillshop.exceedlms.com/student/path/997981-get-started-using-google-analytics?sid=4f98376b-6deb-46ed-99e1-a4901388ca2c&sid_i=0,completing google analytics learning path youll able understand google analytics collect process data set analytics account way support business objective describe data compiled report analytics
168,169,datacamp,A/B Testing in Python,"In this course, you will dive into the world of A/B testing, gain a deep understanding of the practical use cases, and learn to design, run, and analyze these A/B tests in Python. You’ll start by learning how to define the right metrics before learning how to estimate the appropriate sample size and duration to yield conclusive results. Throughout this course, you’ll use a range of Python packages to help with A/B testing, including statsmodels, scipy, and pingouin. By the end of the course, you will be able to run the necessary sanity checks that guarantee accurate results, master the art of p-values, and analyze the results of A/B tests with ease and confidence to guide the most critical business decisions. In this chapter, you’ll learn the foundations of A/B testing. You’ll explore clear steps and use cases, learn the reasons and value of designing and running A/B tests, and discover the most commonly used metrics design and estimation frameworks. In Chapter 2, you’ll cover the experiment design process. Starting with learning how to formulate strong A/B testing hypotheses, you’ll also cover statistical concepts such as power, error rates, and minimum detectable effects. You’ll finish the chapter by learning to estimate the appropriate sample size needed to yield conclusive results and tackle scenarios with multiple comparisons. Here, you’ll discover a concrete workflow for cleaning, preprocessing, and exploring AB testing data, as well as learn the necessary sanity checks we need to follow to ensure valid results. You’ll explore a detailed explanation and example of analyzing difference in proportions A/B tests. In the final chapter, you’ll develop frameworks for analyzing differences in means and leveraging non-parametric tests when several assumptions aren't met. You’ll also learn how to apply the Delta method when analyzing ratio metrics and discover the best practices and some advanced topics to continue the A/B testing mastery journey.",data analytics,beginner,yes,paid,,https://www.datacamp.com/courses/ab-testing-in-python,course dive world ab testing gain deep understanding practical use case learn design run analyze ab test python youll start learning define right metric learning estimate appropriate sample size duration yield conclusive result throughout course youll use range python package help ab testing including statsmodels scipy pingouin end course able run necessary sanity check guarantee accurate result master art pvalues analyze result ab test ease confidence guide critical business decision chapter youll learn foundation ab testing youll explore clear step use case learn reason value designing running ab test discover commonly used metric design estimation framework chapter 2 youll cover experiment design process starting learning formulate strong ab testing hypothesis youll also cover statistical concept power error rate minimum detectable effect youll finish chapter learning estimate appropriate sample size needed yield conclusive result tackle scenario multiple comparison youll discover concrete workflow cleaning preprocessing exploring ab testing data well learn necessary sanity check need follow ensure valid result youll explore detailed explanation example analyzing difference proportion ab test final chapter youll develop framework analyzing difference mean leveraging nonparametric test several assumption arent met youll also learn apply delta method analyzing ratio metric discover best practice advanced topic continue ab testing mastery journey
169,170,postgresql,PostgreSQL Tutorial,"Welcome to the PostgreSQLTutorial.com website! This PostgreSQL tutorial helps you understand PostgreSQL quickly. You’ll master PostgreSQL very fast through many practical examples and apply the knowledge in developing applications using PostgreSQL. If you are: Looking for learning PostgreSQL fast. Developing applications using PostgreSQL as the back-end database management system. Migrating from other database management systems such as MySQL, Oracle, and Microsoft SQL Server to PostgreSQL. You’ll find all you need to know to get started with PostgreSQL quickly and effectively here on this website. PostgreSQL tutorial demonstrates many unique features of PostgreSQL that make it the most advanced open-source database management system. This section helps you get started with PostgreSQL by showing you how to install PostgreSQL on Windows, Linux, and macOS. You also learn how to connect to PostgreSQL using the psql tool as well as how to load a sample database into the PostgreSQL for practicing.","database management, data analytics",beginner,no,free,,https://www.postgresqltutorial.com/,welcome postgresqltutorialcom website postgresql tutorial help understand postgresql quickly youll master postgresql fast many practical example apply knowledge developing application using postgresql looking learning postgresql fast developing application using postgresql backend database management system migrating database management system mysql oracle microsoft sql server postgresql youll find need know get started postgresql quickly effectively website postgresql tutorial demonstrates many unique feature postgresql make advanced opensource database management system section help get started postgresql showing install postgresql window linux macos also learn connect postgresql using psql tool well load sample database postgresql practicing
170,171,mongodb,MongoDB Getting Started,This tutorial walks you through inserting test data into a MongoDB database and querying that data using the documentation's embedded web shell. You do not need to deploy or install MongoDB to complete this tutorial. This tutorial walks you through inserting test data into a MongoDB database and querying that data using the documentation's embedded web shell. You do not need to deploy or install MongoDB to complete this tutorial.,database management,any,no,free,,https://www.mongodb.com/docs/manual/tutorial/getting-started/,tutorial walk inserting test data mongodb database querying data using documentation embedded web shell need deploy install mongodb complete tutorial tutorial walk inserting test data mongodb database querying data using documentation embedded web shell need deploy install mongodb complete tutorial
171,172,microsoft,SQL Server Tutorial,"SQL Server provides tutorials to help you learn new technologies and features. Tutorials for earlier versions can usually be used with more recent versions. When tutorials address a newer feature, they will indicate the minimum version to complete the tutorial.",database management,any,no,free,,https://learn.microsoft.com/en-us/sql/sql-server/tutorials-for-sql-server-2016?view=sql-server-ver16,sql server provides tutorial help learn new technology feature tutorial earlier version usually used recent version tutorial address newer feature indicate minimum version complete tutorial
172,173,mariadb,MariaDB Tutorial,"MariaDB is an open-source relational database management system (RDBMS) that is a highly compatible drop-in replacement of MySQL. MariaDB was developed as a software fork of MySQL in 2009 in response to Oracle’s acquisition of MySQL. MariaDB intends to remain free and open-source software under the GNU General Public License. The MariaDB tutorial website provides you with practical knowledge and skills so that you can master MariaDB quickly. To get the best out of the tutorials, you should be familiar with RDBMS concepts. However, it is not required.",database management,any,no,free,,https://www.mariadbtutorial.com/,mariadb opensource relational database management system rdbms highly compatible dropin replacement mysql mariadb developed software fork mysql 2009 response oracle acquisition mysql mariadb intends remain free opensource software gnu general public license mariadb tutorial website provides practical knowledge skill master mariadb quickly get best tutorial familiar rdbms concept however required
173,174,oracle,Oracle Tutorial,"If you are looking for learning Oracle Database from scratch, you are at the right place. On this website, you can learn Oracle Database fast and easily. This Oracle tutorial was designed for absolute beginners who have never worked with any relational database system, especially the Oracle Database. If you are already familiar with the Oracle database, you can find a lot of useful information on the new Oracle database features and advanced techniques.",database management,any,no,free,,https://www.oracletutorial.com/,looking learning oracle database scratch right place website learn oracle database fast easily oracle tutorial designed absolute beginner never worked relational database system especially oracle database already familiar oracle database find lot useful information new oracle database feature advanced technique
174,175,redis,Get Started with Redis,"Redis is an open source (BSD licensed), in-memory data structure store used as a database, cache, message broker, and streaming engine. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams. Redis has built-in replication, Lua scripting, LRU eviction, transactions, and different levels of on-disk persistence, and provides high availability via Redis Sentinel and automatic partitioning with Redis Cluster. You can run atomic operations on these types, like appending to a string; incrementing the value in a hash; pushing an element to a list; computing set intersection, union and difference; or getting the member with highest ranking in a sorted set. To achieve top performance, Redis works with an in-memory dataset. Depending on your use case, Redis can persist your data either by periodically dumping the dataset to disk or by appending each command to a disk-based log. You can also disable persistence if you just need a feature-rich, networked, in-memory cache. Redis supports asynchronous replication, with fast non-blocking synchronization and auto-reconnection with partial resynchronization on net split.",database management,any,no,free,,https://redis.io/docs/getting-started/,redis open source bsd licensed inmemory data structure store used database cache message broker streaming engine redis provides data structure string hash list set sorted set range query bitmap hyperloglogs geospatial index stream redis builtin replication lua scripting lru eviction transaction different level ondisk persistence provides high availability via redis sentinel automatic partitioning redis cluster run atomic operation type like appending string incrementing value hash pushing element list computing set intersection union difference getting member highest ranking sorted set achieve top performance redis work inmemory dataset depending use case redis persist data either periodically dumping dataset disk appending command diskbased log also disable persistence need featurerich networked inmemory cache redis support asynchronous replication fast nonblocking synchronization autoreconnection partial resynchronization net split
175,176,sqlite,SQLite Tutorial,"This SQLite tutorial teaches you everything you need to know to start using SQLite effectively. In this tutorial, you will learn SQLite step by step through extensive hands-on practice. This SQLite tutorial is designed for developers who want to use SQLite as the back-end database or to manage structured data in applications, including desktop, web, and mobile apps; SQLite is an open-source, zero-configuration, self-contained, stand-alone, transaction relational database engine designed to be embedded into an application.",database management,any,no,free,,https://www.sqlitetutorial.net/,sqlite tutorial teach everything need know start using sqlite effectively tutorial learn sqlite step step extensive handson practice sqlite tutorial designed developer want use sqlite backend database manage structured data application including desktop web mobile apps sqlite opensource zeroconfiguration selfcontained standalone transaction relational database engine designed embedded application
176,177,google,Building a web application with Angular and Firebase,"In this codelab, we'll build a web kanban board with Angular and Firebase! Our final app will have three categories of tasks: backlog, in progress, and completed. We'll be able to create, delete tasks, and transfer them from one category to another using drag and drop. We'll develop the user interface using Angular and use Firestore as our persistent store. At the end of the codelab we'll deploy the app to Firebase Hosting using the Angular CLI. How to use Angular material and the CDK. How to add Firebase integration to your Angular app. How to keep your persistent data in Firestore. How to deploy your app to Firebase Hosting using the Angular CLI with a single command.","cloud computing, database management",any,no,free,,https://developers.google.com/codelabs/building-a-web-app-with-angular-and-firebase#0,codelab well build web kanban board angular firebase final app three category task backlog progress completed well able create delete task transfer one category another using drag drop well develop user interface using angular use firestore persistent store end codelab well deploy app firebase hosting using angular cli use angular material cdk add firebase integration angular app keep persistent data firestore deploy app firebase hosting using angular cli single command
177,178,microsoft,Microsoft Certified: Azure Fundamentals,"Whether you’re new to the field or a seasoned professional, mastering the basics in Microsoft Azure can help you jump-start your career and prepare you to dive deeper into the many technical opportunities Azure offers. This certification validates your foundational knowledge of cloud concepts in general and Azure in particular. As a candidate for this certification, you can describe Azure architectural components and Azure services, such as compute, networking, and storage, as well as features and tools to secure, govern, and administer Azure. The Microsoft Certified: Azure Fundamentals certification could be a great fit for you if you’d like to: Prove your knowledge of cloud computing concepts, models, and services, such as public, private, and hybrid cloud, in addition to infrastructure as a service (IaaS), platform as a service (PaaS), and software as a service (SaaS). Show your expertise on how Azure supports security, privacy, compliance, and trust. It’s recommended to have skills and experience working with an area of IT, such as infrastructure management, database management, or software development. You can use your Azure Fundamentals certification to reinforce your basics for other Azure role-based or specialty certifications, but it isn’t a prerequisite for any of them. To prepare for the exam, we recommend that you: Fully understand the skills measured. Study the relevant self-paced content on Microsoft Learn, attend a Microsoft Azure Virtual Training Day: Fundamentals, or sign up for an instructor-led training event with a Microsoft Learning Partner. Take the free Practice Assessment to validate your knowledge. Get a trial subscription and give it a try. Check out Master the basics with the Azure Fundamentals certification to learn more about this certification and how to get ready.",cloud computing,any,no,free,,https://learn.microsoft.com/en-gb/certifications/azure-fundamentals/,whether youre new field seasoned professional mastering basic microsoft azure help jumpstart career prepare dive deeper many technical opportunity azure offer certification validates foundational knowledge cloud concept general azure particular candidate certification describe azure architectural component azure service compute networking storage well feature tool secure govern administer azure microsoft certified azure fundamental certification could great fit youd like prove knowledge cloud computing concept model service public private hybrid cloud addition infrastructure service iaa platform service paas software service saas show expertise azure support security privacy compliance trust recommended skill experience working area infrastructure management database management software development use azure fundamental certification reinforce basic azure rolebased specialty certification isnt prerequisite prepare exam recommend fully understand skill measured study relevant selfpaced content microsoft learn attend microsoft azure virtual training day fundamental sign instructorled training event microsoft learning partner take free practice assessment validate knowledge get trial subscription give try check master basic azure fundamental certification learn certification get ready
178,179,heroku,Getting Started on Heroku,Step-by-step guides for deploying your first app and mastering the basics of Heroku.,cloud computing,any,no,free,,https://devcenter.heroku.com/start,stepbystep guide deploying first app mastering basic heroku
179,180,node.js,Introduction to Node.js,"Getting started guide to Node.js, the server-side JavaScript runtime environment. Node.js is built on top of the Google Chrome V8 JavaScript engine, and it's mainly used to create web servers - but it's not limited to just that. Node.js is an open-source and cross-platform JavaScript runtime environment. It is a popular tool for almost any kind of project! Node.js runs the V8 JavaScript engine, the core of Google Chrome, outside of the browser. This allows Node.js to be very performant. A Node.js app runs in a single process, without creating a new thread for every request. Node.js provides a set of asynchronous I/O primitives in its standard library that prevent JavaScript code from blocking and generally, libraries in Node.js are written using non-blocking paradigms, making blocking behavior the exception rather than the norm. When Node.js performs an I/O operation, like reading from the network, accessing a database or the filesystem, instead of blocking the thread and wasting CPU cycles waiting, Node.js will resume the operations when the response comes back. This allows Node.js to handle thousands of concurrent connections with a single server without introducing the burden of managing thread concurrency, which could be a significant source of bugs. Node.js has a unique advantage because millions of frontend developers that write JavaScript for the browser are now able to write the server-side code in addition to the client-side code without the need to learn a completely different language. In Node.js the new ECMAScript standards can be used without problems, as you don't have to wait for all your users to update their browsers - you are in charge of deciding which ECMAScript version to use by changing the Node.js version, and you can also enable specific experimental features by running Node.js with flags.",programming language,any,no,free,,https://nodejs.dev/en/learn/,getting started guide nodejs serverside javascript runtime environment nodejs built top google chrome v8 javascript engine mainly used create web server limited nodejs opensource crossplatform javascript runtime environment popular tool almost kind project nodejs run v8 javascript engine core google chrome outside browser allows nodejs performant nodejs app run single process without creating new thread every request nodejs provides set asynchronous io primitive standard library prevent javascript code blocking generally library nodejs written using nonblocking paradigm making blocking behavior exception rather norm nodejs performs io operation like reading network accessing database filesystem instead blocking thread wasting cpu cycle waiting nodejs resume operation response come back allows nodejs handle thousand concurrent connection single server without introducing burden managing thread concurrency could significant source bug nodejs unique advantage million frontend developer write javascript browser able write serverside code addition clientside code without need learn completely different language nodejs new ecmascript standard used without problem dont wait user update browser charge deciding ecmascript version use changing nodejs version also enable specific experimental feature running nodejs flag
180,181,react,Quick Start React,"Welcome to the React documentation! This page will give you an introduction to the 80% of React concepts that you will use on a daily basis. You will learn: how to create and nest components, how to add markup and styles, how to display data, how to render conditions and lists, how to respond to events and update the screen, how to share data between components.",programming language,any,no,free,,https://react.dev/learn,welcome react documentation page give introduction 80 react concept use daily basis learn create nest component add markup style display data render condition list respond event update screen share data component
181,182,w3schools,jQuery Introduction,"jQuery is a lightweight, ""write less, do more"", JavaScript library. The purpose of jQuery is to make it much easier to use JavaScript on your website. jQuery takes a lot of common tasks that require many lines of JavaScript code to accomplish, and wraps them into methods that you can call with a single line of code. jQuery also simplifies a lot of the complicated things from JavaScript, like AJAX calls and DOM manipulation. The jQuery library contains the following features: HTML/DOM manipulation, CSS manipulation, HTML event methods, Effects and animations, AJAX, Utilities.",programming lnaguage,any,no,free,,https://www.w3schools.com/jquery/jquery_intro.asp,jquery lightweight write le javascript library purpose jquery make much easier use javascript website jquery take lot common task require many line javascript code accomplish wrap method call single line code jquery also simplifies lot complicated thing javascript like ajax call dom manipulation jquery library contains following feature htmldom manipulation cs manipulation html event method effect animation ajax utility
182,183,youtube,Node.js Tutorial for Beginners: Learn Node in 1 Hour,Node.js Tutorial for Beginners: Learn Node in 1 Hour,programming language,any,no,free,,https://www.youtube.com/watch?v=TlB_eWDSMt4,nodejs tutorial beginner learn node 1 hour
183,184,youtube,Learn Express JS in 35 Minutes,ExpressJS is the most popular Node.js web server framework and is the basis of thousands of sites. In this video I will be breaking down every important aspect of Express for you so you can truly master ExpressJS.,programming language,any,no,free,,https://www.youtube.com/watch?v=SccSCuHhOw0,expressjs popular nodejs web server framework basis thousand site video breaking every important aspect express truly master expressjs
184,185,simplilearn,Angular Tutorial for Beginners,"In the current work space, there are various frameworks and libraries designed to provide alternative solutions. And when it comes to front-end web development, Angular addresses most of the issues developers face when using JavaScript on its own. Angular is an open-source, JavaScript framework written in TypeScript, with clear advantages and a standard structure for developers on a team to work with. Skills covered: Angular, Angular Components, Typescript, Angular Forms, angular CLI.",programming language,beginner,no,free,,https://www.simplilearn.com/tutorials/angular-tutorial,current work space various framework library designed provide alternative solution come frontend web development angular address issue developer face using javascript angular opensource javascript framework written typescript clear advantage standard structure developer team work skill covered angular angular component typescript angular form angular cli
